name,address,rating,price_level,open_now
Golden Dragon Chinese,"1754 S Grand Ave, Glendora",4.3,1.0,True
Century Dragon,"3711 Magnolia Blvd, Burbank",4.4,1.0,True
China garden Chinese food,"1211 S Soto St, Los Angeles",4.4,1.0,True
Fat Dragon,"3500 Sunset Blvd, Los Angeles",4.0,1.0,True
Sea Dragon,"101 Vermont Ave, Los Angeles",4.3,1.0,True
First Szechuan Wok,"10855 Lindbrook Dr, Los Angeles",4.0,2.0,True
Golden Wok,"3403 W Slauson Ave, Los Angeles",3.6,1.0,True
Hong Kong Chinese Food,"12730 Hawthorne Blvd, Hawthorne",3.8,1.0,True
California Wok,"16656 Ventura Blvd, Encino",4.2,1.0,True
Oriental House,"2302 S La Cienega Blvd, Los Angeles",4.3,1.0,True
Daily China Express,"1907 Hillhurst Ave, Los Angeles",4.4,1.0,True
Wacky Wok - Westchester,"8919 S Sepulveda Blvd, Los Angeles",3.9,1.0,True
Wok on Soto,"305 N Soto St, Los Angeles",4.3,1.0,True
King Chinese Food,"4310 S Central Ave, Los Angeles",4.0,1.0,True
China Gate,"11814 Wilmington Ave, Los Angeles",4.4,1.0,True
China Kitchen,"1830 W Lincoln Ave, Anaheim",4.1,1.0,True
Fine Wok,"1222 Pacific Coast Hwy, Harbor City",4.4,1.0,True
Orange Blossom Chinese Restaurant,"3804 E Chapman Ave b, Orange",4.5,1.0,True
Le Oriental Bistro,"1710 Highland Ave, Los Angeles",3.9,1.0,True
Golden City Chinese Cuisine,"17719 Vanowen St, Reseda",4.5,1.0,True
China Wok Express,"425 Imperial Hwy., Los Angeles",4.1,2.0,True
China Express,"5440 S Central Ave, Los Angeles",4.7,2.0,True
China Garden,"14825 Jeffrey Rd, Irvine",3.9,2.0,True
Golden China Restaurant,"1115 Fair Oaks Ave, South Pasadena",4.3,2.0,True
Hong Kong Express,"261 E Adams Blvd, Los Angeles",4.4,1.0,True
Super Wok Chinese Restaurant,"5418 Reseda Blvd, Tarzana",4.4,1.0,True
Jade Wok,"625 W College St #109, Los Angeles",4.6,1.0,True
Chinese Express,"4414 Avalon Blvd, Los Angeles",4.6,1.0,True
Golden Phoenix Chinese Restaurant,"4819 Paramount Blvd, Lakewood",4.4,1.0,True
Little China Express,"3813 E Cesar E Chavez Ave, Los Angeles",4.4,1.0,True
China Express,"19417 Soledad Canyon Rd, Santa Clarita",4.0,2.0,True
Go China Restaurant,"136 N Lake Ave, Pasadena",4.4,2.0,True
Sun Moon Garden,"1511 N San Fernando Blvd, Burbank",4.3,1.0,True
Lucky Chinese Food,"18525 Brookhurst St, Fountain Valley",4.5,1.0,True
Golden Palace Chinese Restaurant,"9116 Telegraph Rd, Downey",4.3,2.0,True
Golden Pheasant,"1077 W Carson St, Torrance",4.4,2.0,True
Hong Kong Express,"3330 W Florence Ave C, Los Angeles",4.4,1.0,True
Royal Wok Chinese Restaurant,"1868 N Tustin St, Orange",4.6,1.0,True
New China Restaurant,"11121 1st Ave, Whittier",4.6,1.0,True
China Lites,"5424 Laurel Canyon Blvd c, Valley Village",4.4,2.0,True
China Palace Restaurant,"13444 Newport Ave # C, Tustin",4.4,2.0,True
The China Garden,"21618 Ventura Blvd, Woodland Hills",4.2,2.0,True
New Flavors,"4135 S Centinela Ave, Los Angeles",4.2,1.0,True
New Moon,"2138 Verdugo Blvd, Montrose",4.5,2.0,True
Oriental Chinese Restaurant,"2380 W Whittier Blvd, La Habra",4.4,1.0,True
Hong Kong Express,"10311 Avalon Blvd, Los Angeles",3.7,,True
Chinese Express,"2016 N Main St, Los Angeles",4.5,,True
Peking Restaurant,"8566 Westminster Blvd., Westminster",4.5,2.0,True
Hong Kong Express,"1905 S Western Ave #1, Los Angeles",4.0,1.0,True
Royal Dragon Chinese Restaurant,"21101 Sherman Way, Canoga Park",4.4,1.0,True
Chinese Deli,"537 E Sepulveda Blvd, Carson",4.4,1.0,True
China Express,"11845 Braddock Dr, Los Angeles",4.0,1.0,True
Jin's Chinese Kitchen,"1930 W Olympic Blvd, Los Angeles",4.6,2.0,True
Lucky Chinese Food,"2509 W McFadden Ave F, Santa Ana",4.4,1.0,True
China Chef's Express Chinese Food,"2020 S Central Ave, Los Angeles",4.1,,True
Mandarin Wong Chinese Restaurant,"23758 Lyons Ave, Newhall",4.4,1.0,True
China Bistro,"8310 Valley Blvd, Rosemead",4.3,,True
Fortune House Chinese Cuisine,"6031 San Vicente Blvd, Los Angeles",4.3,2.0,True
Wok On Fire,"1447 S La Cienega Blvd, Los Angeles",4.3,2.0,True
Szechuwan Garden Restaurant - Authentic Chinese Food in Canoga Park,"8399 CA-27, Canoga Park",4.1,1.0,True
It's Boba Time Vermont,"701 S Vermont Ave, Los Angeles",4.5,1.0,True
Gong Cha,"318 E 2nd St A, Los Angeles",4.3,1.0,True
Tan-Cha,"3401-3413 W 6th St, Los Angeles",4.3,1.0,True
Cha For Tea - Long Beach,"5720 E 7th St, Long Beach",4.4,1.0,True
Tiger Sugar,"18330 Colima Rd, Rowland Heights",4.1,1.0,True
Bubble Boba,"2829 Ocean Park Blvd, Santa Monica",4.4,1.0,True
It's Boba Time,"704 N Vermont Ave, Los Angeles",4.5,1.0,True
It's Boba Time,"125 N Western Ave, Los Angeles",4.3,1.0,True
It's Boba Time,"6660 Sunset Blvd suite q, Los Angeles",4.4,1.0,True
It’s Boba Time - Rolling Hills Estates,"27 Peninsula Center, Rolling Hills Estates",4.3,1.0,True
Tiger Sugar,"3465 W 6th St #120, Los Angeles",4.2,1.0,True
Bubble Republic,"800 W Las Tunas Dr #100, San Gabriel",4.3,1.0,True
It's Boba Time- Glendale Marketplace,"136 S Brand Blvd, Glendale",4.2,1.0,True
It's Boba Time,"3450 W 6th St Ste 111, Los Angeles",4.1,1.0,True
Cha For Tea - University Center,"4187 Campus Dr Suite M173, Irvine",4.3,1.0,True
It's Boba Time -Irvine,"3905 Irvine Blvd, Irvine",4.3,1.0,True
Pot of Cha,"3013 S Figueroa St, Los Angeles",4.6,1.0,True
Hello Boba,"11230 Garvey Ave #C, El Monte",4.7,1.0,True
It's Boba Time Dewey,"2848 W Olympic Blvd, Los Angeles",4.4,1.0,True
Sharetea,"1055 Broxton Ave, Los Angeles",4.5,1.0,True
Sharetea,"11900 South St #106, Cerritos",4.6,1.0,True
Tea Maru - Housemade Boba,"709 W Las Tunas Dr, San Gabriel",4.2,1.0,True
It’s Boba Time,"1001 S Alvarado St, Los Angeles",4.5,1.0,True
Feng Cha Teahouse - Costa Mesa,"891 Baker St Ste A18, Costa Mesa",4.5,1.0,True
CrafTea,"4161 Ball Rd, Cypress",4.3,1.0,True
It's Boba Time,"3617 Vermont Ave #3945, Los Angeles",4.3,1.0,True
Bubble Puff & Tea Cafe,"1543 E Colorado Blvd, Pasadena",4.4,1.0,True
Tan-Cha,"227 W Valley Blvd #118, San Gabriel",4.1,1.0,True
FourTea,"870 N Tustin St, Orange",4.6,1.0,True
Chala Boba,"16045 Sherman Way Ste #K, Van Nuys",4.6,1.0,True
I Love Boba,"1001 Vermont Ave, Los Angeles",4.4,1.0,True
I Love Boba,"3512 W 8th St, Los Angeles",4.5,1.0,True
Teaspoon Sawtelle,"1947 Sawtelle Blvd Suite E, Los Angeles",4.7,1.0,True
BobaPOP Tea Bar,"8744 Garden Grove Blvd, Garden Grove",4.3,1.0,True
It's boba time,"9 E Main St, Alhambra",4.3,1.0,True
Ding Tea Hawthorne,"5263 Rosecrans Ave, Hawthorne",4.5,1.0,True
Boba Junkie,"1200 W Warner Ave b, Santa Ana",4.4,1.0,True
Sharetea Santa Monica,"113 Broadway, Santa Monica",4.4,1.0,True
It's Boba Time Highland,"5001 Wilshire Blvd Unit 105, Los Angeles",4.3,1.0,True
Boba Cha Cha,"12906 Victory Blvd, Valley Glen",4.6,1.0,True
Black Pearl Tea House,"12911 Magnolia St A, Garden Grove",4.2,1.0,True
Just Boba Tea House,"952 Gayley Ave, Los Angeles",4.1,1.0,True
It's Boba Time - Little Tokyo,"372 E 2nd St, Los Angeles",3.7,1.0,True
Volcano Tea House,"2111 Sawtelle Blvd, Los Angeles",4.4,1.0,True
Cha For Tea - Woodbridge Village Center,"4740 Barranca Pkwy Suite 4740, Irvine",4.2,1.0,True
Tea Maru - Housemade Boba,"724 S Spring St #107, Los Angeles",3.8,1.0,True
Urban Location Boba Tea House Garden Grove,"10872 Westminster Ave #103, Garden Grove",4.1,1.0,True
ALittle Tea,"158 W Valley Blvd, San Gabriel",4.7,1.0,True
Presotea Westminster,"9211 Bolsa Ave suite 105, Westminster",4.6,1.0,True
WUSHILAND BOBA WCC,"10250 Santa Monica Blvd Suite 2770, Los Angeles",4.2,1.0,True
Kung Fu Tea Westminster,"9709 Bolsa Ave, Westminster",4.2,1.0,True
CHUBBI TEA SHOPPE,"9772 Garden Grove Blvd STE 1, Garden Grove",4.5,1.0,True
Wushiland Boba,"140 W Valley Blvd Ste 104, San Gabriel",4.3,1.0,True
Quickly Rowland Heights,"18353 Colima Rd, Rowland Heights",4.3,1.0,True
Tapioca Express,"228 W Valley Blvd STE 105, Alhambra",4.1,1.0,True
Ding Tea Bixby Knolls Long Beach,"3908 Atlantic Ave, Long Beach",4.4,1.0,True
Boba Tea & Me,"1328 Wilshire Blvd, Santa Monica",4.2,1.0,True
Boba Time,"11207 National Blvd, Los Angeles",2.9,1.0,True
CHApu TeaShoppe,"8450 Garvey Ave Suit 102b, Rosemead",3.9,1.0,True
"Y Tea Cafe: Boba, Fries, Crawfish","14291 N Euclid St Ste D105, Garden Grove",4.4,1.0,True
Dim Sum Dumpling House,"417 W Main St, Alhambra",4.6,,True
Juicy Dumpling Factory,"6100 Warner Ave UNIT 103, Huntington Beach",4.4,2.0,True
Super Dumpling,"1500 E Village Way #2197, Orange",4.6,2.0,True
Dumpling Queen,"16244 Whittier Blvd, Whittier",4.6,1.0,True
Jia Yan Dumpling,"106 W Foothill Blvd, Glendora",5.0,2.0,True
Jiayuan Dumpling House,"1904 S Pacific Coast Hwy, Redondo Beach",4.7,2.0,True
"Super Juicy Dumpling [Brea, CA]","2445 E Imperial Hwy a, Brea",4.2,2.0,True
Prince Dumpling,"8801 Valley Blvd, Rosemead",4.5,,True
Tian You Feng Dumpling House,"1428 S Azusa Ave Ste A, West Covina",4.4,2.0,True
Bafang Dumpling,"21215 Hawthorne Blvd, Torrance",4.2,,True
Tai He Ju Dumplings House 泰禾居饺子馆,"10333 Garvey Ave, El Monte",4.9,1.0,True
Hui Tou Xiang,"1643 N Cahuenga Blvd, Los Angeles",4.5,2.0,True
Long Xing Ji Juicy Dumpling,"140 W Valley Blvd Ste 211, San Gabriel",4.1,2.0,True
Din Tai Fung,"21540 Hawthorne Blvd #519, Torrance",4.6,2.0,True
Dumpling Mix,"705 N Pacific Coast Hwy, Redondo Beach",4.3,2.0,True
Dumpling House,"921 S Baldwin Ave, Arcadia",4.3,1.0,True
ixlb Dimsum Eats,"5900 Sunset Blvd, Los Angeles",4.6,1.0,True
Ma's Dumpling House,"627 N Euclid St, Anaheim",4.3,2.0,True
Dumpling House,"3525 W 3rd St #6, Los Angeles",4.2,1.0,True
Mama Lu's Dumpling House,"153 E Garvey Ave, Monterey Park",4.3,1.0,True
JA Jiaozi Authentic Dumplings,"13776 Jamboree Rd, Irvine",4.4,2.0,True
Mama Lu's Dumpling House,"501 W Garvey Ave, Monterey Park",4.2,1.0,True
Dumpling Tops,"800 Fair Oaks Ave, South Pasadena",4.3,,True
One Bite Dumpling一口香饺子坊,"23120 Lyons Ave Ste 6, Santa Clarita",4.5,2.0,True
Mayflower Dumpling Express,"401 S Magnolia Ave, Anaheim",4.6,1.0,True
Din Tai Fung,"1164 Galleria Way, Glendale",4.5,2.0,True
Mason's Dumpling Shop,"5803 N Figueroa St, Los Angeles",4.4,1.0,True
Mama Lu's Dumpling House,"2 E Colorado Blvd, Pasadena",4.0,2.0,True
Jiou Chu Dumplings,"18156 Colima Rd, Rowland Heights",4.1,,True
Mama Lu’s Dumpling House,"17515 Colima Rd B, City of Industry",4.1,2.0,True
XLB Dumpling Bar,"18732 Amar Rd, Walnut",4.4,1.0,True
Cali Dumpling,"149 N Glassell St, Orange",4.1,2.0,True
Dumpling Monster,"7318 Santa Monica Blvd Suite 60, West Hollywood",4.1,2.0,True
Mama Lu's Dumpling House,"700 N Spring St, Los Angeles",4.0,2.0,True
Myungin Dumplings (+Chicken),"19520 Nordhoff St #4, Northridge",4.2,2.0,True
Bafang Dumpling,"2153 Brea Mall, Brea",4.3,1.0,True
Harbin Dumpling House 哈尔滨大院,"8526 Valley Blvd #113, Rosemead",5.0,2.0,True
LUYU DUMPLINGS,"17980 Castleton St, City of Industry",4.6,2.0,True
Yum Dumpling,"3910 E Chapman Ave, Orange",4.5,2.0,True
Bafang Dumpling,"453 Los Cerritos Center, Cerritos",4.1,,True
Din Tai Fung,"10250 Santa Monica Blvd Ste 2400, Los Angeles",4.5,2.0,True
Luscious Dumplings,"919 W Duarte Rd, Monrovia",4.3,1.0,True
Bafang Dumpling,"1552 S Azusa Ave suite b, City of Industry",4.2,1.0,True
Peking Dumpling,"2740 W Olympic Blvd #3, Los Angeles",4.3,,True
Din Tai Fung,"400 S Baldwin Ave #M5, Arcadia",4.5,2.0,True
AFURI Ramen + Dumpling,"9300 Culver Blvd Unit 117, Culver City",4.2,,True
Mad Dumplings - Long Beach,"5718 E 7th St, Long Beach",4.0,1.0,True
Bafang Dumpling,"1693 Artesia Blvd, Gardena",4.4,,True
Bafang Dumpling,"9571 Valley View St, Cypress",4.1,,True
O Dumpling Bar,"165 N Glassell St, Orange",3.9,2.0,True
Hui Tou Xiang Noodles House,"704 W Las Tunas Dr, San Gabriel",4.4,2.0,True
Little Pan Santa Ana,"2 Hutton Centre Dr #202, Santa Ana",4.4,2.0,True
Mama Lu’s Dumpling House,"17662 17th St, Tustin",4.0,2.0,True
Myung In Dumplings,"3109 W Olympic Blvd B, Los Angeles",4.4,1.0,True
BaFang Dumpling,"2923 Chino Ave h3, Chino Hills",4.1,,True
Mandarin Noodle House,"701 W Garvey Ave, Monterey Park",4.6,,True
Bao Dim Sum House,"8256 Beverly Blvd, Los Angeles",4.3,2.0,True
Major Dumplings,"1241 Grand Ave a #A, Diamond Bar",4.6,2.0,True
Sunny Dumpling House 小哥包子鋪,"24602 Raymond Way H, Lake Forest",4.5,2.0,True
Dumpling Wei,"1535 E Colorado Blvd, Pasadena",4.3,2.0,True
Dim Sum Dumpling House,"417 W Main St, Alhambra",4.6,,True
