name,address,rating,price_level,open_now
ixlb Dimsum Eats,"5900 Sunset Blvd, Los Angeles",4.6,1.0,True
Bao Dim Sum House,"8256 Beverly Blvd, Los Angeles",4.3,2.0,True
Lunasia Dim Sum House,"500 W Main St, Alhambra",4.2,2.0,True
The China Garden,"21618 Ventura Blvd, Woodland Hills",4.2,2.0,True
Jiayuan Dumpling House,"1904 S Pacific Coast Hwy, Redondo Beach",4.7,2.0,True
Dim Sum World,"2099 S Atlantic Blvd suite a, Monterey Park",4.3,1.0,True
China Garden,"14825 Jeffrey Rd, Irvine",3.9,2.0,True
Din Tai Fung,"21540 Hawthorne Blvd #519, Torrance",4.6,2.0,True
One Bite Dumpling一口香饺子坊,"23120 Lyons Ave Ste 6, Santa Clarita",4.5,2.0,True
Ma's Dumpling House,"627 N Euclid St, Anaheim",4.3,2.0,True
Golden Dragon Restaurant,"960 N Broadway, Los Angeles",4.1,1.0,True
Dumpling House,"921 S Baldwin Ave, Arcadia",4.3,1.0,True
Lunasia Dim Sum House,"239 E Colorado Blvd, Pasadena",4.3,2.0,True
Mama Lu's Dumpling House,"153 E Garvey Ave, Monterey Park",4.3,1.0,True
Ocean Bo Dim Sum Cafe,"3948 Peck Rd, El Monte",4.3,1.0,True
Atlantic Seafood and Dim Sum,"500 N Atlantic Blvd suite 200, Monterey Park",4.0,2.0,True
Dim Sum House,"1822 Westwood Blvd, Los Angeles",4.0,2.0,True
Din Tai Fung,"3333 Bristol St Ste Ste 2071, Costa Mesa",4.5,2.0,True
Lunasia Dim Sum House,"2575 Pacific Coast Hwy, Torrance",4.2,2.0,True
Mama Lu's Dumpling House,"501 W Garvey Ave, Monterey Park",4.2,1.0,True
Chi's Chinese Cuisine,"9635 Reseda Blvd, Northridge",4.5,2.0,True
Won Kok Restaurant,"210 Alpine St, Los Angeles",4.1,1.0,True
JS Foothill Restaurant,"3591 E Foothill Blvd, Pasadena",4.8,2.0,True
Mayflower Dumpling Express,"401 S Magnolia Ave, Anaheim",4.6,1.0,True
Lunasia Dim Sum House,"11510 South St, Cerritos",4.2,2.0,True
Capital Seafood Beverly Hills,"50 N La Cienega Blvd #130, Beverly Hills",4.3,2.0,True
Sam Woo Cafe,"11688 South St #105, Artesia",4.3,2.0,True
Mama Lu’s Dumpling House,"17662 17th St, Tustin",4.0,2.0,True
Din Tai Fung,"1164 Galleria Way, Glendale",4.5,2.0,True
Shanghai Rose,"12050 Ventura Blvd, Studio City",4.1,2.0,True
Din Tai Fung,"400 S Baldwin Ave #M5, Arcadia",4.5,2.0,True
Capital Noodle Bar Brea,"3477 E Imperial Hwy, Brea",4.3,2.0,True
Major Dumplings,"1241 Grand Ave a #A, Diamond Bar",4.6,2.0,True
dan modern chinese - pasadena,"146 S Lake Ave #105, Pasadena",4.3,2.0,True
Seafood Cove 2,"9211 Bolsa Ave Suite 106, Westminster",4.3,2.0,True
Capital Seafood Restaurant,"333 E Huntington Dr, Arcadia",4.3,2.0,True
Bistro 1968,"402 S San Gabriel Blvd Ste A, San Gabriel",4.0,,True
Yue Hai Restaurant,"1655 S Azusa Ave, Hacienda Heights",3.8,1.0,True
Full Moon House,"960 N Hill St, Los Angeles",4.3,2.0,True
Ho Sum Bistro,"3112 Newport Blvd, Newport Beach",4.4,1.0,True
T.C.G. Dim Sum & Noodle House Valencia,"23460 Cinema Dr Unit C, Valencia",4.6,2.0,True
NBC Seafood Restaurant,"404 S Atlantic Blvd, Monterey Park",4.3,2.0,True
ixlb DimSum Eats,"10905 Lindbrook Dr, Los Angeles",4.4,1.0,True
Din Tai Fung,"10250 Santa Monica Blvd Ste 2400, Los Angeles",4.5,2.0,True
Szechwan Chinese Food,"2107 Pacific Coast Hwy, Lomita",4.4,2.0,True
Moon House,"11058 Santa Monica Blvd, Los Angeles",4.3,2.0,True
dan modern chinese - santa monica,"1403 2nd St, Santa Monica",4.3,2.0,True
Golden Tree Restaurant,"640 North Broadway Situ1, 638 N Broadway, Los Angeles",4.5,2.0,True
18 Folds,"430 S Anaheim Blvd, Anaheim",4.2,,True
Tian's Dim Sum Restaurant,"809 N Hill St, Los Angeles",4.1,1.0,True
Paradise Dynasty,"3333 Bristol Street, BLM, 1 Bloomingdale's, Costa Mesa",4.2,2.0,True
Peking Restaurant,"8566 Westminster Blvd., Westminster",4.5,2.0,True
Sea Empress Seafood,"1636 W Redondo Beach Blvd, Gardena",4.0,2.0,True
Ping Pong Chinese Cuisine,"17267 Ventura Blvd, Encino",4.4,2.0,True
Meizhou Express,"4518 Maine Ave, Baldwin Park",4.3,2.0,True
Yang Chow Restaurant,"819 N Broadway, Los Angeles",4.5,2.0,True
Hong Kong Dim Sum House,"827 W Las Tunas Dr, San Gabriel",4.6,1.0,False
Long Xing Ji Juicy Dumpling,"140 W Valley Blvd Ste 211, San Gabriel",4.1,2.0,True
Peking Dumpling,"2740 W Olympic Blvd #3, Los Angeles",4.3,,True
Tasty Pot,"9250 Reseda Blvd #8, Northridge",4.5,1.0,True
101 Pot All You Can Eat,"55 E Duarte Rd UNIT 101, Arcadia",4.3,,True
5 POT,"748 E Colorado Blvd, Pasadena",4.8,1.0,True
Blazin Shabu Shabu,"13018 Harbor Blvd, Garden Grove",4.4,,True
MLBB AYCE Rowland Heights 马路边边麻辣燙,"18194 Colima Rd, Rowland Heights",4.2,1.0,True
CHUAN POT,"2803 S Diamond Bar Blvd, Diamond Bar",4.3,1.0,True
Tasty Pot,"18219 B Gale Ave, City of Industry",4.7,1.0,True
Happy AYCE Hot Pot LA 开心火锅 洛杉矶店,"8772 Valley Blvd, Rosemead",4.4,2.0,True
PiChaiYuan Hot Pot,"18406 Colima Rd E, Rowland Heights",4.7,,True
吃货 Hot pot & BBQ,"500 E Valley Blvd Unit C&D, San Gabriel",4.6,2.0,True
MLBB AYCE Hot Pot 马路边边直营店,"1056 Walnut Ave, Tustin",4.3,2.0,True
Lao Ma Tou Hot Pot 老码头火锅 - Irvine,"4230 Barranca Pkwy, Irvine",4.5,,True
Solo Hot Pot,"958 N Diamond Bar Blvd, Diamond Bar",4.7,1.0,True
Yuan's Hotpot Los Angeles,"8752 Valley Blvd, Rosemead",4.4,2.0,True
Haidilao Hot Pot Irvine,"2710 Alton Pkwy #215, Irvine",4.7,2.0,True
HOT°C POT,"11095 Warner Ave, Fountain Valley",4.4,,True
Fast Hotpot,"2419 Park Ave, Tustin",4.3,1.0,True
MooMoo Hot Pot,"3967 Irvine Blvd, Irvine",4.6,,True
Haidilao Hot Pot Century City,"10250 Santa Monica Blvd Ste 2610, Los Angeles",4.8,2.0,True
Bon Shabu,"3454 Wilshire Blvd, Los Angeles",4.3,2.0,True
Boiling Point Concept,"18 W Green St, Pasadena",4.3,2.0,True
Nice to Meet You Skewer Hot Pot - Now AYCE,"15361 Culver Dr, Irvine",4.5,1.0,True
Haidilao Hot Pot Arcadia,"400 S Baldwin Ave Suite 2015, Arcadia",4.6,3.0,True
东镇炭火铜锅 East Town Hot Pot,"18268 Gale Ave B, City of Industry",4.5,1.0,True
"Hot Pot, Hot Pot!","120 S Atlantic Blvd, Monterey Park",4.3,2.0,True
Boiling Point,"18001 Pioneer Blvd C, Artesia",4.2,2.0,True
Hot Pot City,"15606 Brookhurst St Suite E, Westminster",4.4,2.0,True
Tasty Pot,"33 W Main St, Alhambra",4.3,2.0,True
Boiling Pot And Boba Street,"19524 Nordhoff St ste#3, Northridge",4.3,1.0,True
Haidilao Hot Pot City of Industry,"1560 S Azusa Ave Unit 178, City of Industry",4.8,2.0,True
Zhangliang Spicy Hotpot (Rowland Heights),"1380 Fullerton Rd #104, Rowland Heights",4.9,1.0,True
Monland Hot Pot City,"251 W Bencamp St, San Gabriel",4.3,1.0,True
Ah Lien Hot Pot,"1722 Desire Ave #101, Rowland Heights",4.2,2.0,True
Boiling Point,"14140 Culver Dr, Irvine",4.0,2.0,True
AYCE Firecamp Hotpot & BBQ,"4595 Barranca Pkwy, Irvine",4.1,1.0,True
Chong Qing YaoMei Hotpot,"55 W Green St, Pasadena",4.6,2.0,True
Chun La Hao Chong Qing Hot Pot,"5701 Rosemead Blvd, Temple City",4.2,2.0,True
Paper Pot Shabu Shabu,"20657 Golden Springs Dr UNIT 206, Diamond Bar",4.3,2.0,True
Boiling Point,"13876 Brookhurst St #3173, Garden Grove",4.0,2.0,True
Lao Ma Tou Hot Pot - Rowland Heights,"18938 Labin Ct #101A, Rowland Heights",4.1,1.0,True
Boiling Point,"15488 S Western Ave, Gardena",4.2,2.0,True
Happy Sheep Hot Pot,"US California Torrance, 3525 Pacific Coast Hwy, #O",4.2,2.0,True
Boiling Point,"206 S 1st Ave, Arcadia",4.1,2.0,True
shancheng lameizi hot pot,"14130 Culver Dr Unit L, Irvine",4.3,1.0,True
Boiling Point,"153 W Garvey Ave, Monterey Park",4.0,2.0,True
Boiling Point,"6018, 13089 Peyton Dr, Chino Hills",3.9,2.0,True
Boiling Point,"1370 Fullerton Rd, Rowland Heights",4.0,2.0,True
Pot on Fire & Tea Bar,"3926 Grand Ave F, Chino",4.1,2.0,True
Love at the Curb（爱在马路边）,"301 W Valley Blvd Ste. #112, San Gabriel",4.9,1.0,True
YinTang Spicy Hot Pot,"138 E Garvey Ave #C, Monterey Park",4.3,2.0,True
Mokkoji Shabu Shabu,"9240 Garden Grove Blvd, Garden Grove",4.3,1.0,True
Boiling Point,"2020 S Hacienda Blvd, Hacienda Heights",4.0,2.0,True
Wagyu House by The X Pot,"18558 Gale Ave Suite 122-128, Rowland Heights",4.6,2.0,True
Boiling Point,"12145 Valley View St unit 103, Garden Grove",4.0,2.0,True
Qianlixiang spicy hot pot 천리향 마라탕,"3377 Wilshire Blvd #110, Los Angeles",4.4,2.0,True
Dabin Kabob & Hotpot,"301 E Garvey Ave, Monterey Park",4.5,1.0,True
Prime Hot Pot,"2415 Park Ave, Tustin",3.8,,True
Pixiu Mala Hongtang,"425 S Western Ave STE # E, Los Angeles",4.3,1.0,True
Shancheng Lameizi,"18932 Gale Ave, Rowland Heights",4.1,2.0,True
Xiaolongkan Hot Pot,"46 W Valley Blvd, Alhambra",4.1,1.0,True
Mandarin Noodle House,"701 W Garvey Ave, Monterey Park",4.6,,True
Noodles Noodles,"15900 Crenshaw Blvd unit c, Gardena",4.6,2.0,True
LAN NOODLE West Covina,"1428 S Azusa Ave Suite B, West Covina",4.2,2.0,True
Capital Noodle Bar | Costa Mesa,"3033 Bristol St C, Costa Mesa",4.3,2.0,True
NO. 1 NOODLE HOUSE,"18246 Gale Ave STE B, Rowland Heights",4.5,2.0,True
Noodle St.,"2323 E Chapman Ave Ste B, Fullerton",4.4,2.0,True
S.T. Noodle Bar,"4152 Norse Way, Long Beach",4.6,2.0,True
Tasty Noodle House,"2373 Pacific Coast Hwy, Lomita",4.2,2.0,True
Noodle Art,"6333 W 3rd St # 508, Los Angeles",4.6,1.0,True
Noodle World,"932 Huntington Dr, San Marino",4.3,1.0,True
Noodle World,"700 Valley Blvd, Alhambra",4.2,1.0,True
Old Time Noodle House,"15325 S Western Ave, Gardena",4.3,1.0,True
Sup Noodle Bar - Buena Park,"5141 Beach Blvd Unit B, Buena Park",4.5,2.0,True
Noodle Art 一面之缘,"117 N Lincoln Ave, Monterey Park",4.1,2.0,True
Mountain Noodles,"3377 Wilshire Blvd #100, Los Angeles",4.4,,True
Venice Noodles,"10953 Venice Blvd., Los Angeles",4.4,2.0,True
RiceString Noodle Shack,"11803 South St, Cerritos",4.5,1.0,True
Tasty Noodle House - Irvine,"15333 Culver Dr #320, Irvine",4.0,1.0,True
Noodle St,"120 W Foothill Blvd, Monrovia",4.5,2.0,True
MR DRAGON NOODLE HOUSE,"8526 Valley Blvd #108, Rosemead",4.5,2.0,True
Noodle St. Irvine,"3963 Irvine Blvd, Irvine",4.2,2.0,True
Noodle World Jr.,"14622 Ventura Blvd #101, Sherman Oaks",4.2,1.0,True
Noodle Monster,"5219 1/2 Laurel Canyon Blvd, Valley Village",4.4,1.0,True
Noodle World,"1935 S Atlantic Blvd, Monterey Park",4.3,1.0,True
101 Noodle Express,"1408 E Valley Blvd, Alhambra",4.0,1.0,True
Casa Noodle Teriyaki,"5930 Main St, Los Angeles",4.5,1.0,True
Mr. Noodle,"936 Broxton Ave, Los Angeles",4.3,2.0,True
Thai Noodle King,"9887 Alondra Blvd, Bellflower",4.4,1.0,True
Mr dragon noodle house,"20657 Golden Springs Dr #104-105, Diamond Bar",4.4,2.0,True
noodle palace,"8518 Valley Blvd, Rosemead",4.5,2.0,True
LA Kung Fu Noodle,"944 W Foothill Blvd, Claremont",4.7,,True
Spicy Noodle House,"3314 S Bristol St, Santa Ana",4.4,1.0,True
Noodle St,"87 E Colorado Blvd, Pasadena",4.4,2.0,True
Tasty Noodle House - Hacienda Heights,"1611A S Azusa Ave, Hacienda Heights",4.1,1.0,True
Qin West Noodle,"6200 Scholarship, Irvine",4.5,2.0,True
Noodle St Arcadia,"400 S Baldwin Ave Ste M10, Arcadia",4.2,2.0,True
NoodleMii,"1345 S Diamond Bar Blvd j, Diamond Bar",4.2,1.0,True
Kaiju Noodle House,"1167 E Alosta Ave, Azusa",4.4,1.0,True
LAN NOODLE,"7100 Santa Monica Blvd SUITE 130, West Hollywood",4.6,2.0,True
Thai Noodle House,"14328 Telegraph Rd, Whittier",4.6,1.0,True
The Noodle (Peyton Restaurant),"4183 Chino Hills Pkwy P, Chino Hills",4.0,2.0,True
Capital Noodle Bar,"3850 Barranca Pkwy Suite E, Irvine",4.1,2.0,True
Pa Ord Noodle,"5301 Sunset Blvd #8, Los Angeles",4.5,1.0,True
Hollywood Noodle,"48 Live Oak Ave, Arcadia",4.1,1.0,True
Lao Xi Noodle House,"921 S Baldwin Ave Ste G-H, Arcadia",4.5,1.0,True
Watdongmoonlek Noodle,"4356 Fountain Ave, Los Angeles",4.6,1.0,True
Tasty Noodle House,"2117 Sawtelle Blvd, Los Angeles",3.8,2.0,True
The Noodle麵麵店,"19755 Colima Rd, Rowland Heights",3.7,2.0,True
Cyclo Noodles,"4754 Pacific Coast Hwy, Long Beach",4.5,1.0,True
Best Noodle House,"9329 Valley Blvd, Rosemead",4.3,1.0,True
The Soup and Noodle,"807 N Tustin St, Orange",4.2,2.0,True
Noodle World Jr,"8636 S Sepulveda Blvd, Los Angeles",4.0,2.0,True
Tasty Noodle House,"2947 Chino Ave #3, Chino Hills",3.6,1.0,True
101 Noodle Express,"1025 S Baldwin Ave, Arcadia",4.1,1.0,True
Capital Noodle Bar Brea,"3477 E Imperial Hwy, Brea",4.3,2.0,True
WeHo Thai Noodle & Rice,"7075 Sunset Blvd, Los Angeles",4.3,1.0,True
SPICY NOODLE HOUSE,"68 Rio Rancho Rd #106, Pomona",4.4,2.0,True
Qin West Noodle,"1767 Westwood Blvd, Los Angeles",4.5,1.0,True
Wen Hui Noodle Hours,"644 W Garvey Ave, Monterey Park",4.3,2.0,True
Noodle House,"958 E Garvey Ave, Monterey Park",3.3,1.0,True
