name,rating,total_reviews
Golden Dragon Chinese,4.3,285
Century Dragon,4.4,371
China garden Chinese food,4.4,117
Fat Dragon,4.0,97
Sea Dragon,4.3,331
First Szechuan Wok,4.0,169
Golden Wok,3.6,16
Hong Kong Chinese Food,3.8,206
California Wok,4.2,194
Oriental House,4.3,134
Daily China Express,4.4,189
Wacky Wok - Westchester,3.9,312
Wok on Soto,4.3,235
King Chinese Food,4.0,70
China Gate,4.4,402
China Kitchen,4.1,300
Fine Wok,4.4,89
Orange Blossom Chinese Restaurant,4.5,70
Le Oriental Bistro,3.9,351
Golden City Chinese Cuisine,4.5,318
China Wok Express,4.1,94
China Express,4.7,95
China Garden,3.9,660
Golden China Restaurant,4.3,332
Hong Kong Express,4.4,159
Super Wok Chinese Restaurant,4.4,613
Jade Wok,4.6,424
Chinese Express,4.6,191
Golden Phoenix Chinese Restaurant,4.4,423
Little China Express,4.4,243
China Express,4.0,105
Go China Restaurant,4.4,377
Sun Moon Garden,4.3,282
Lucky Chinese Food,4.5,772
Golden Palace Chinese Restaurant,4.3,715
Golden Pheasant,4.4,770
Hong Kong Express,4.4,121
Royal Wok Chinese Restaurant,4.6,153
New China Restaurant,4.6,50
China Lites,4.4,168
China Palace Restaurant,4.4,454
The China Garden,4.2,73
New Flavors,4.2,370
New Moon,4.5,756
Oriental Chinese Restaurant,4.4,335
Hong Kong Express,3.7,86
Chinese Express,4.5,28
Peking Restaurant,4.5,304
Hong Kong Express,4.0,107
Royal Dragon Chinese Restaurant,4.4,129
Chinese Deli,4.4,235
China Express,4.0,106
Jin's Chinese Kitchen,4.6,78
Lucky Chinese Food,4.4,338
China Chef's Express Chinese Food,4.1,94
Mandarin Wong Chinese Restaurant,4.4,388
China Bistro,4.3,109
Fortune House Chinese Cuisine,4.3,385
Wok On Fire,4.3,245
Szechuwan Garden Restaurant - Authentic Chinese Food in Canoga Park,4.1,300
It's Boba Time Vermont,4.5,1531
Gong Cha,4.3,233
Tan-Cha,4.3,242
Cha For Tea - Long Beach,4.4,552
Tiger Sugar,4.1,489
Bubble Boba,4.4,118
It's Boba Time,4.5,529
It's Boba Time,4.3,392
It's Boba Time,4.4,459
It’s Boba Time - Rolling Hills Estates,4.3,91
Tiger Sugar,4.2,112
Bubble Republic,4.3,232
It's Boba Time- Glendale Marketplace,4.2,302
It's Boba Time,4.1,476
Cha For Tea - University Center,4.3,511
It's Boba Time -Irvine,4.3,153
Pot of Cha,4.6,277
Hello Boba,4.7,189
It's Boba Time Dewey,4.4,396
Sharetea,4.5,176
Sharetea,4.6,501
Tea Maru - Housemade Boba,4.2,298
It’s Boba Time,4.5,702
Feng Cha Teahouse - Costa Mesa,4.5,226
CrafTea,4.3,74
It's Boba Time,4.3,986
Bubble Puff & Tea Cafe,4.4,125
Tan-Cha,4.1,284
FourTea,4.6,152
Chala Boba,4.6,103
I Love Boba,4.4,261
I Love Boba,4.5,197
Teaspoon Sawtelle,4.7,439
BobaPOP Tea Bar,4.3,134
It's boba time,4.3,23
Ding Tea Hawthorne,4.5,186
Boba Junkie,4.4,278
Sharetea Santa Monica,4.4,69
It's Boba Time Highland,4.3,276
Boba Cha Cha,4.6,212
Black Pearl Tea House,4.2,162
Just Boba Tea House,4.1,73
It's Boba Time - Little Tokyo,3.7,208
Volcano Tea House,4.4,560
Cha For Tea - Woodbridge Village Center,4.2,236
Tea Maru - Housemade Boba,3.8,55
Urban Location Boba Tea House Garden Grove,4.1,430
ALittle Tea,4.7,418
Presotea Westminster,4.6,156
WUSHILAND BOBA WCC,4.2,143
Kung Fu Tea Westminster,4.2,179
CHUBBI TEA SHOPPE,4.5,35
Wushiland Boba,4.3,456
Quickly Rowland Heights,4.3,156
Tapioca Express,4.1,73
Ding Tea Bixby Knolls Long Beach,4.4,48
Boba Tea & Me,4.2,153
Boba Time,2.9,276
CHApu TeaShoppe,3.9,14
"Y Tea Cafe: Boba, Fries, Crawfish",4.4,235
Dim Sum Dumpling House,4.6,11
Juicy Dumpling Factory,4.4,48
Super Dumpling,4.6,89
Dumpling Queen,4.6,31
Jia Yan Dumpling,5.0,17
Jiayuan Dumpling House,4.7,155
"Super Juicy Dumpling [Brea, CA]",4.2,476
Prince Dumpling,4.5,80
Tian You Feng Dumpling House,4.4,151
Bafang Dumpling,4.2,30
Tai He Ju Dumplings House 泰禾居饺子馆,4.9,41
Hui Tou Xiang,4.5,188
Long Xing Ji Juicy Dumpling,4.1,426
Din Tai Fung,4.6,2377
Dumpling Mix,4.3,24
Dumpling House,4.3,429
ixlb Dimsum Eats,4.6,696
Ma's Dumpling House,4.3,298
Dumpling House,4.2,305
Mama Lu's Dumpling House,4.3,2560
JA Jiaozi Authentic Dumplings,4.4,430
Mama Lu's Dumpling House,4.2,1527
Dumpling Tops,4.3,4
One Bite Dumpling一口香饺子坊,4.5,215
Mayflower Dumpling Express,4.6,191
Din Tai Fung,4.5,2405
Mason's Dumpling Shop,4.4,292
Mama Lu's Dumpling House,4.0,84
Jiou Chu Dumplings,4.1,139
Mama Lu’s Dumpling House,4.1,286
XLB Dumpling Bar,4.4,337
Cali Dumpling,4.1,20
Dumpling Monster,4.1,122
Mama Lu's Dumpling House,4.0,165
Myungin Dumplings (+Chicken),4.2,217
Bafang Dumpling,4.3,20
Harbin Dumpling House 哈尔滨大院,5.0,2
LUYU DUMPLINGS,4.6,207
Yum Dumpling,4.5,101
Bafang Dumpling,4.1,21
Din Tai Fung,4.5,2122
Luscious Dumplings,4.3,253
Bafang Dumpling,4.2,337
Peking Dumpling,4.3,20
Din Tai Fung,4.5,2393
AFURI Ramen + Dumpling,4.2,81
Mad Dumplings - Long Beach,4.0,50
Bafang Dumpling,4.4,69
Bafang Dumpling,4.1,19
O Dumpling Bar,3.9,135
Hui Tou Xiang Noodles House,4.4,211
Little Pan Santa Ana,4.4,403
Mama Lu’s Dumpling House,4.0,133
Myung In Dumplings,4.4,713
BaFang Dumpling,4.1,86
Mandarin Noodle House,4.6,676
Bao Dim Sum House,4.3,1167
Major Dumplings,4.6,29
Sunny Dumpling House 小哥包子鋪,4.5,213
Dumpling Wei,4.3,62
Dim Sum Dumpling House,4.6,11
ixlb Dimsum Eats,4.6,696
Bao Dim Sum House,4.3,1167
Lunasia Dim Sum House,4.2,1464
The China Garden,4.2,73
Jiayuan Dumpling House,4.7,155
Dim Sum World,4.3,113
China Garden,3.9,660
Din Tai Fung,4.6,2377
One Bite Dumpling一口香饺子坊,4.5,215
Ma's Dumpling House,4.3,298
Golden Dragon Restaurant,4.1,1454
Dumpling House,4.3,429
Lunasia Dim Sum House,4.3,1273
Mama Lu's Dumpling House,4.3,2560
Ocean Bo Dim Sum Cafe,4.3,851
Atlantic Seafood and Dim Sum,4.0,193
Dim Sum House,4.0,176
Din Tai Fung,4.5,3625
Lunasia Dim Sum House,4.2,170
Mama Lu's Dumpling House,4.2,1527
Chi's Chinese Cuisine,4.5,651
Won Kok Restaurant,4.1,2876
JS Foothill Restaurant,4.8,26
Mayflower Dumpling Express,4.6,191
Lunasia Dim Sum House,4.2,560
Capital Seafood Beverly Hills,4.3,399
Sam Woo Cafe,4.3,113
Mama Lu’s Dumpling House,4.0,133
Din Tai Fung,4.5,2405
Shanghai Rose,4.1,487
Din Tai Fung,4.5,2393
Capital Noodle Bar Brea,4.3,313
Major Dumplings,4.6,29
dan modern chinese - pasadena,4.3,266
Seafood Cove 2,4.3,2050
Capital Seafood Restaurant,4.3,727
Bistro 1968,4.0,197
Yue Hai Restaurant,3.8,340
Full Moon House,4.3,546
Ho Sum Bistro,4.4,308
T.C.G. Dim Sum & Noodle House Valencia,4.6,16
NBC Seafood Restaurant,4.3,2092
ixlb DimSum Eats,4.4,54
Din Tai Fung,4.5,2122
Szechwan Chinese Food,4.4,682
Moon House,4.3,902
dan modern chinese - santa monica,4.3,253
Golden Tree Restaurant,4.5,189
18 Folds,4.2,332
Tian's Dim Sum Restaurant,4.1,236
Paradise Dynasty,4.2,556
Peking Restaurant,4.5,304
Sea Empress Seafood,4.0,639
Ping Pong Chinese Cuisine,4.4,284
Meizhou Express,4.3,158
Yang Chow Restaurant,4.5,1134
Hong Kong Dim Sum House,4.6,149
Long Xing Ji Juicy Dumpling,4.1,426
Peking Dumpling,4.3,20
Tasty Pot,4.5,50
101 Pot All You Can Eat,4.3,49
5 POT,4.8,32
Blazin Shabu Shabu,4.4,176
MLBB AYCE Rowland Heights 马路边边麻辣燙,4.2,227
CHUAN POT,4.3,81
Tasty Pot,4.7,45
Happy AYCE Hot Pot LA 开心火锅 洛杉矶店,4.4,1388
PiChaiYuan Hot Pot,4.7,410
吃货 Hot pot & BBQ,4.6,72
MLBB AYCE Hot Pot 马路边边直营店,4.3,118
Lao Ma Tou Hot Pot 老码头火锅 - Irvine,4.5,171
Solo Hot Pot,4.7,84
Yuan's Hotpot Los Angeles,4.4,127
Haidilao Hot Pot Irvine,4.7,1406
HOT°C POT,4.4,163
Fast Hotpot,4.3,77
MooMoo Hot Pot,4.6,18
Haidilao Hot Pot Century City,4.8,1195
Bon Shabu,4.3,723
Boiling Point Concept,4.3,513
Nice to Meet You Skewer Hot Pot - Now AYCE,4.5,163
Haidilao Hot Pot Arcadia,4.6,1680
东镇炭火铜锅 East Town Hot Pot,4.5,53
"Hot Pot, Hot Pot!",4.3,425
Boiling Point,4.2,622
Hot Pot City,4.4,184
Tasty Pot,4.3,109
Boiling Pot And Boba Street,4.3,117
Haidilao Hot Pot City of Industry,4.8,1935
Zhangliang Spicy Hotpot (Rowland Heights),4.9,1537
Monland Hot Pot City,4.3,164
Ah Lien Hot Pot,4.2,96
Boiling Point,4.0,866
AYCE Firecamp Hotpot & BBQ,4.1,71
Chong Qing YaoMei Hotpot,4.6,311
Chun La Hao Chong Qing Hot Pot,4.2,181
Paper Pot Shabu Shabu,4.3,133
Boiling Point,4.0,432
Lao Ma Tou Hot Pot - Rowland Heights,4.1,200
Boiling Point,4.2,739
Happy Sheep Hot Pot,4.2,433
Boiling Point,4.1,433
shancheng lameizi hot pot,4.3,88
Boiling Point,4.0,496
Boiling Point,3.9,436
Boiling Point,4.0,459
Pot on Fire & Tea Bar,4.1,341
Love at the Curb（爱在马路边）,4.9,179
YinTang Spicy Hot Pot,4.3,246
Mokkoji Shabu Shabu,4.3,113
Boiling Point,4.0,274
Wagyu House by The X Pot,4.6,491
Boiling Point,4.0,21
Qianlixiang spicy hot pot 천리향 마라탕,4.4,62
Dabin Kabob & Hotpot,4.5,71
Prime Hot Pot,3.8,40
Pixiu Mala Hongtang,4.3,113
Shancheng Lameizi,4.1,532
Xiaolongkan Hot Pot,4.1,226
Mandarin Noodle House,4.6,676
Noodles Noodles,4.6,32
LAN NOODLE West Covina,4.2,161
Capital Noodle Bar | Costa Mesa,4.3,456
NO. 1 NOODLE HOUSE,4.5,57
Noodle St.,4.4,935
S.T. Noodle Bar,4.6,400
Tasty Noodle House,4.2,384
Noodle Art,4.6,56
Noodle World,4.3,458
Noodle World,4.2,2223
Old Time Noodle House,4.3,367
Sup Noodle Bar - Buena Park,4.5,916
Noodle Art 一面之缘,4.1,244
Mountain Noodles,4.4,75
Venice Noodles,4.4,95
RiceString Noodle Shack,4.5,584
Tasty Noodle House - Irvine,4.0,290
Noodle St,4.5,368
MR DRAGON NOODLE HOUSE,4.5,348
Noodle St. Irvine,4.2,164
Noodle World Jr.,4.2,135
Noodle Monster,4.4,211
Noodle World,4.3,783
101 Noodle Express,4.0,863
Casa Noodle Teriyaki,4.5,231
Mr. Noodle,4.3,141
Thai Noodle King,4.4,207
Mr dragon noodle house,4.4,73
noodle palace,4.5,112
LA Kung Fu Noodle,4.7,54
Spicy Noodle House,4.4,397
Noodle St,4.4,254
Tasty Noodle House - Hacienda Heights,4.1,136
Qin West Noodle,4.5,537
Noodle St Arcadia,4.2,156
NoodleMii,4.2,110
Kaiju Noodle House,4.4,280
LAN NOODLE,4.6,84
Thai Noodle House,4.6,222
The Noodle (Peyton Restaurant),4.0,413
Capital Noodle Bar,4.1,307
Pa Ord Noodle,4.5,886
Hollywood Noodle,4.1,156
Lao Xi Noodle House,4.5,166
Watdongmoonlek Noodle,4.6,448
Tasty Noodle House,3.8,283
The Noodle麵麵店,3.7,312
Cyclo Noodles,4.5,614
Best Noodle House,4.3,211
The Soup and Noodle,4.2,294
Noodle World Jr,4.0,117
Tasty Noodle House,3.6,219
101 Noodle Express,4.1,307
Capital Noodle Bar Brea,4.3,313
WeHo Thai Noodle & Rice,4.3,262
SPICY NOODLE HOUSE,4.4,62
Qin West Noodle,4.5,913
Wen Hui Noodle Hours,4.3,108
Noodle House,3.3,102
